1, 2
2, 0
3, 0
4, 1
5, 2
6, 3
7, 6
8, 11
9, 12
10, 17
11, 28
12, 34
13, 46
14, 78
15, 102
16, 156
17, 201
18, 273
19, 389
20, 514
21, 704
22, 916
23, 1186
24, 1582
25, 2007
26, 2404
27, 3162
28, 4122
29, 4906
30, 5868
31, 7049
32, 8675
33, 10183
34, 11938
35, 13949
36, 16117
37, 18193
38, 20742
39, 22919
40, 25450
41, 27809
42, 29893
43, 32187
44, 34080
45, 36060
46, 37888
47, 38447
48, 39453
49, 39772
50, 39891
51, 39252
52, 38673
53, 37627
54, 36103
55, 34207
56, 32661
57, 30213
58, 27698
59, 25501
60, 23181
61, 20555
62, 18219
63, 16181
64, 14023
65, 11871
66, 10233
67, 8511
68, 7293
69, 5966
70, 4834
71, 3964
72, 3200
73, 2523
74, 1934
75, 1519
76, 1174
77, 916
78, 707
79, 485
80, 398
81, 268
82, 196
83, 152
84, 107
85, 60
86, 49
87, 39
88, 25
89, 19
90, 14
91, 8
92, 3
93, 6
94, 0
95, 1
96, 1
97, 1
98, 0
99, 0
